"ville_id","ville_departement","ville_nom","ville_nom_simple","ville_nom_reel","ville_code_postal","ville_code_commune","ville_arrondissement","ville_longitude_deg","ville_latitude_deg"
"1","01","OZAN","ozan","Ozan","01190","01284","2","4.91667","46.3833"
"2","01","CORMORANCHE-SUR-SAONE","cormoranche sur saone","Cormoranche-sur-Saône","01290","01123","2","4.83333","46.2333"
"3","01","PLAGNE","plagne","Plagne","01130","01298","4","5.73333","46.1833"
"4","01","TOSSIAT","tossiat","Tossiat","01250","01422","2","5.31667","46.1333"
"5","01","POUILLAT","pouillat","Pouillat","01250","01309","2","5.43333","46.3333"
"6","01","TORCIEU","torcieu","Torcieu","01230","01421","1","5.4","45.9167"
"7","01","REPLONGES","replonges","Replonges","01620","01320","2","4.88333","46.3"
"8","01","CORCELLES","corcelles","Corcelles","01110","01119","4","5.58333","46.0333"
"9","01","PERON","peron","Péron","01630","01288","3","5.93333","46.2"
"10","01","RELEVANT","relevant","Relevant","01990","01319","2","4.95","46.0833"
"11","01","CHAVEYRIAT","chaveyriat","Chaveyriat","01660","01096","2","5.06667","46.1833"
"12","01","VAUX-EN-BUGEY","vaux en bugey","Vaux-en-Bugey","01150","01431","1","5.35","45.9167"
"13","01","MAILLAT","maillat","Maillat","01430","01228","4","5.55","46.1333"
"14","01","FARAMANS","faramans","Faramans","01800","01156","2","5.11667","45.9"
"15","01","BEON","beon","Béon","01350","01039","1","5.75","45.8333"
"16","01","SAINT-BERNARD","saint bernard","Saint-Bernard","01600","01339","2","4.73723","45.945"
"17","01","ROSSILLON","rossillon","Rossillon","01510","01329","1","5.6","45.8333"
"18","01","PONT-D'AIN","pont d ain","Pont-d'Ain","01160","01304","2","5.33333","46.05"
"19","01","NANTUA","nantua","Nantua","01460","01269","4","5.61667","46.15"
"20","01","CHAVANNES-SUR-REYSSOUZE","chavannes sur reyssouze","Chavannes-sur-Reyssouze","01190","01094","2","5","46.4333"
"21","01","NEUVILLE-LES-DAMES","neuville les dames","Neuville-les-Dames","01400","01272","2","5","46.1667"
"22","01","FLAXIEU","flaxieu","Flaxieu","01350","01162","1","5.73333","45.8167"
"23","01","HOTONNES","hotonnes","Hotonnes","01260","01187","4","5.68333","46"
"24","01","SAINT-SORLIN-EN-BUGEY","saint sorlin en bugey","Saint-Sorlin-en-Bugey","01150","01386","1","5.36667","45.8833"
"25","01","SONGIEU","songieu","Songieu","01260","01409","1","5.7","45.9667"
"26","01","VIRIEU-LE-PETIT","virieu le petit","Virieu-le-Petit","01260","01453","1","5.71667","45.9"
"27","01","SAINT-DENIS-EN-BUGEY","saint denis en bugey","Saint-Denis-en-Bugey","01500","01345","1","5.33333","45.95"
"28","01","CHARNOZ-SUR-AIN","charnoz sur ain","Charnoz-sur-Ain","01800","01088","2","5.21667","45.8667"
